,official_id,watershed_id,name,centroid_lat_deg_n,centroid_lon_deg_e,drainage_area_km2,drainage_area_gsim_km2,flag_gsim_boundaries,flag_artificial_boundaries,elevation_m,slope_deg,gravelius,perimeter,flag_shape_extraction,aspect_deg,flag_terrain_extraction,land_use_forest_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_water_frac_2010,land_use_urban_frac_2010,land_use_shrubs_frac_2010,land_use_crops_frac_2010,land_use_snow_ice_frac_2010,flag_land_use_extraction,logk_ice_x100,porosity_x100,flag_subsoil_extraction,year_from,year_to,record_length,agency,status,updated_official_basin,in_bcub,prcp,srad,swe,tmax,tmin,vp,high_prcp_freq,high_prcp_duration,low_prcp_freq,low_prcp_duration,H_4_bits,H_6_bits,H_8_bits,H_9_bits,H_10_bits,H_11_bits,H_12_bits,mean_runoff
0,05010500,13662,North Fork Belly River at international boundary,48.9882472,-113.7629167,25.071,,False,True,1936.2,26.0373,,,False,21.8905,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1947.0,1955.0,8.0,BCUB,D,False,True,1504.2728,308.9275,475.51688,5.48231,-3.9129944,538.57196,0.050302107,1.0352963,0.67237675,4.2213335,2.172982019507038,4.817983685361647,6.81070106340839,7.353849026885712,7.484000338782261,7.484000338782261,7.484000338782261,1.0306735461457392
1,05012000,13663,Street Creek at international boundary,48.9879694,-113.8787306,13.8823,,False,True,1577.9,19.5961,,,False,271.0158,True,42.86,57.14,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1947.0,1955.0,8.0,BCUB,D,False,True,1343.0317,305.92853,366.23508,6.805441,-3.2508535,558.56213,0.047528498,1.0052308,0.66363156,4.0436153,2.685400510151955,4.489792129248528,6.496653122043258,6.96277737279478,7.0169475299661705,7.0169475299661705,7.0169475299661705,0.4896577399125432
2,05013900,13664,Grinnell C at G Glacier nr Many Glacier MT,48.757675,-113.7246694,1.6576,,False,True,1961.7,10.8972,,,False,31.6791,True,31.58,0.0,0.0,0.0,0.0,68.42,0.0,0.0,True,,,False,1959.0,2009.0,50.0,BCUB,D,False,True,1700.5267,311.49246,507.59836,6.1902804,-3.776985,535.5054,0.037442923,1.0038333,0.6175695,3.8333333,1.727982989803356,3.6363242168887617,5.580702926090885,6.698083073748306,7.629205620301451,8.225585463621606,8.461539108173703,0.4331361561684408
3,05014000,13665,Grinnell Creek nr. Many Glacier MT,48.77011389,-113.6986194,8.6246,,False,True,1737.2,23.2038,,,False,164.0826,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,True,,,False,1949.0,1978.0,29.0,BCUB,D,False,True,1625.5026,310.49567,462.9052,6.6271863,-3.5417674,543.8089,0.037567455,1.0051111,0.6190259,3.8256667,1.2668577523766762,3.3812908739602188,5.401490983465632,6.333937175099342,6.780539429846141,6.832701747225923,6.832701747225921,0.7307698958440737
4,05014300,13666,Swiftcurrent Cr ab Swiftcurrent Lk at Many Glacier,48.7954444,-113.6805833,40.9216,,False,True,1818.1,23.6727,,,False,196.2722,True,0.0,72.72999999999999,0.0,0.0,0.0,27.27,0.0,0.0,True,,,False,2003.0,2022.0,19.0,BCUB,D,False,True,1527.9132,308.9407,429.1649,6.9208784,-3.403958,549.746,0.040057596,1.01815,0.6331087,3.970375,2.673518361602816,4.700130265601346,7.07704861100146,8.398303140969452,9.27445857946019,9.758050236418342,9.922077325866436,2.701880444095251
5,05014500,13664,Swiftcurrent Creek at Many Glacier MT,48.757675,-113.7246694,1.6576,,False,True,1961.7,10.8972,,,False,31.6791,True,31.58,0.0,0.0,0.0,0.0,68.42,0.0,0.0,True,,,False,1912.0,2023.0,111.0,BCUB,A,False,True,1532.0138,303.42847,431.57278,6.962411,-3.3578334,551.58997,0.03961039,1.0177143,0.6291294,3.9176104,1.426448679432574,3.139811846355504,4.487811040811735,5.585816676381103,6.837002159850904,8.263487971783121,9.42793729744361,4.009270713784402
6,05017500,13665,St. Mary River near Babb MT,48.77011389,-113.6986194,8.6246,,False,True,1737.2,23.2038,,,False,164.0826,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,True,,,False,1901.0,2023.0,122.0,BCUB,A,False,True,1318.9412,300.25632,356.7942,7.656999,-2.8544118,569.0783,0.042477578,1.0298872,0.6505992,4.1289763,1.2942369706116408,3.48937647221214,5.387541268253502,6.752774760575189,8.219990238542767,9.274157098768525,9.900523672241048,21.393069116744183
7,05AA006,846,TODD CREEK AT ELTON'S RANCH,49.65667,-114.1256,144.0,122.5345,True,False,1495.1,8.0919,1.9751,79.01,True,129.8845,True,28.13,39.51,0.63,0.01,1.63,12.03,18.06,0.0,True,-1560.0,20.0,True,1909.0,1993.0,28.0,WSC,D,False,True,611.3428,282.36407,89.31323,8.991367,-2.7083523,558.8233,0.05522822,1.0153913,0.7260918,4.9988,2.75594698118553,3.799176023821022,5.443095805538992,6.32325278720292,7.087136158703368,7.481467612244021,7.540625319822918,0.4264552788781991
8,05AA008,847,CROWSNEST RIVER AT FRANK,49.59732,-114.4106,402.6522,,False,False,1703.1,14.9356,1.4835,104.935,True,125.9998,True,62.45,24.58,1.03,0.65,3.28,7.85,0.15,0.02,True,-1550.0,20.0,True,2012.0,2022.0,11.0,WSC,A,False,True,788.17267,282.72845,150.03537,7.393441,-3.5819414,534.3995,0.052839287,1.0181794,0.68703824,4.3571424,1.1213801530877172,3.18095358828049,5.959340635322851,7.192181296310843,8.17965871688304,8.960728655531337,9.432587983235702,4.893797728159687
9,05AA011,848,MILL CREEK NEAR THE MOUTH,49.46951,-114.1342,178.9788,,False,False,1663.2,14.4802,1.6084,75.876,True,34.6778,True,59.13,18.73,0.47,0.06,1.53,10.97,9.12,0.0,True,-1600.0,10.0,True,2012.0,2022.0,10.0,WSC,A,False,True,891.32184,283.75092,177.44908,7.9356384,-2.5327168,582.23895,0.054588787,1.008117,0.7097405,4.6516376,1.320852966698198,3.8292048807012056,5.630559256249592,6.593239251294815,7.656580584191333,8.579817903481764,9.185976794122377,2.8502661145797203
